Sample,TE,All_reads,HQ_reads
SRR11846555,QUASIMODO,41.51,33.18
SRR11846555,R1-2,1.84,1.29
SRR11846555,ROOA_LTR,11.11,8.36
SRR11846555,ROVER,11.83,9.24
SRR11846555,ROXELEMENT,16.77,14.00
SRR11846555,RT1B,53.06,47.77
SRR11846555,RT1C,4.96,3.08
SRR11846555,S2,7.11,4.34
SRR11846555,SGM,0.07,0.00
SRR11846555,SPOCK,0.00,0.00
SRR11846555,SPRINGER,5.85,4.29
SRR11846555,STALKER,25.83,2.40
SRR11846555,STALKER2,9.12,6.54
SRR11846555,STALKER3,11.40,9.11
SRR11846555,STALKER4,30.66,1.05
SRR11846555,TABOR,10.34,8.54
SRR11846555,TAHRE,8.21,6.71
SRR11846555,TAKR1A2,0.00,0.00
SRR11846555,TARTC,12.77,4.11
SRR11846555,TARTVIR,0.34,0.00
SRR11846555,TARTYAK,8.07,0.92
SRR11846555,TC1,23.44,19.82
SRR11846555,TC1-2,15.70,13.01
SRR11846555,TC3,4.26,3.25
SRR11846555,Tinker,10.88,10.06
SRR11846555,TIRANT,0.39,0.06
SRR11846555,TRANSIB1,4.13,3.58
SRR11846555,TRANSIB2,17.66,14.75
SRR11846555,TRANSIB3,6.47,5.16
SRR11846555,TRANSIB4,3.46,2.57
SRR11846555,TV1,0.00,0.00
SRR11846555,U73803,0.00,0.00
SRR11846555,VEGE,0.00,0.00
SRR11846555,VIRUVIR,0.00,0.00
SRR11846555,WORF,0.00,0.00
SRR11846555,YAKHETA,0.00,0.00
Sample,TE,All_reads,HQ_reads
SRR11846559,1360,93.34,73.09
SRR11846559,412,61.21,53.21
SRR11846559,ACCORD,7.12,5.69
SRR11846559,AF009439,0.00,0.00
SRR11846559,AF056940,0.01,0.00
SRR11846559,AF222049,23.49,20.83
SRR11846559,AF418572,0.00,0.00
SRR11846559,AF541951,2.12,1.19
SRR11846559,AY561850,0.04,0.01
SRR11846559,BAGGINS,37.93,31.82
SRR11846559,Beagle,24.26,20.50
SRR11846559,Beagle2,12.71,9.76
SRR11846559,BLOOD,22.77,20.81
SRR11846559,BS,14.53,13.27
SRR11846559,BS3,14.43,10.66
SRR11846559,BS4,1.47,1.30
SRR11846559,BUT1,0.00,0.00
SRR11846559,BUT2,0.00,0.00
SRR11846559,BUT3,0.04,0.00
SRR11846559,BUT4,0.00,0.00
SRR11846559,BUT5,0.00,0.00
SRR11846559,BUT6,0.21,0.00
SRR11846559,CIRC,28.01,24.75
SRR11846559,DBU133521,0.00,0.00
SRR11846559,DDBARI1,1.88,0.85
SRR11846559,DFU309320,0.23,0.00
SRR11846559,DH14600,0.00,0.00
SRR11846559,DHMINOS,0.14,0.01
SRR11846559,DHUHUH3,0.00,0.00
SRR11846559,DIVER2,14.91,10.88
SRR11846559,DK29466,0.00,0.00
SRR11846559,DM06920,4.40,2.07
SRR11846559,DM14101,0.91,0.66
SRR11846559,DM23420,13.70,12.01
SRR11846559,DM33463,36.77,15.98
SRR11846559,DM88,21.77,18.65
SRR11846559,DM_ROO,145.43,130.09
SRR11846559,DMAURA,7.70,3.84
SRR11846559,DMBARI1,48.95,48.09
SRR11846559,DMBLPP,19.77,18.39
SRR11846559,DMCOPIA,30.42,27.17
SRR11846559,DMCR1A,96.23,72.77
SRR11846559,DMDM11,18.60,15.19
SRR11846559,DME010298,22.21,18.92
SRR11846559,DME278684,19.25,17.20
SRR11846559,DME487856,19.30,17.01
SRR11846559,DME9736,26.79,19.35
SRR11846559,dmel_Antennapedia,1.00,0.98
SRR11846559,dmel_Osi6,0.93,0.91
SRR11846559,dmel_wingless,1.00,0.99
SRR11846559,DMGYPF1A,10.58,7.98
SRR11846559,DMHFL1,36.39,33.82
SRR11846559,DMIFACA,38.54,32.30
SRR11846559,DMIS176,29.22,24.61
SRR11846559,DMIS297,50.76,41.53
SRR11846559,DMLINEJA,32.23,31.58
SRR11846559,DMMAR,0.00,0.00
SRR11846559,DMMDG3,23.20,20.75
SRR11846559,DMPOGOR11,18.05,16.96
SRR11846559,DMREPG,14.98,13.94
SRR11846559,DMRER1DM,302.02,287.11
SRR11846559,DMRER2DM,45.62,44.93
SRR11846559,DMRTMGD1,45.46,37.82
SRR11846559,DMTHB1,17.87,10.79
SRR11846559,DMTN1731,21.08,19.11
SRR11846559,DMTNFB,253.55,140.76
SRR11846559,DMTOM1_LTR,9.91,7.47
SRR11846559,DMTRAM,0.00,0.00
SRR11846559,DMTRDNA,25.97,21.62
SRR11846559,DMTRIM,0.00,0.00
SRR11846559,DMU89994,11.96,10.49
SRR11846559,DMW1DOC,102.76,100.77
SRR11846559,DMZAM,5.92,4.81
SRR11846559,DNTOMRETA,0.42,0.00
SRR11846559,DOC2,20.19,19.23
SRR11846559,DOC3,29.80,26.04
SRR11846559,DOC4,6.57,4.74
SRR11846559,DOC5,13.55,10.79
SRR11846559,DPSEMINIME,0.03,0.00
SRR11846559,DSRN,5.14,3.01
SRR11846559,DSV28T24,0.00,0.00
SRR11846559,DTEII,1.20,0.26
SRR11846559,DV26847,1.94,0.00
SRR11846559,DV49102,0.00,0.00
SRR11846559,DVRPPDV,0.00,0.00
SRR11846559,DVULYSS,0.00,0.00
SRR11846559,F,131.87,127.81
SRR11846559,FB,16.89,13.98
SRR11846559,FROGGER,3.46,2.77
SRR11846559,FW2,4.09,3.53
SRR11846559,FW3,2.96,2.36
SRR11846559,G2,19.88,18.47
SRR11846559,G3,2.62,2.00
SRR11846559,G4_DM,11.28,9.62
SRR11846559,G5_DM,9.32,8.28
SRR11846559,G5A,10.48,7.76
SRR11846559,G6_DM,12.93,12.65
SRR11846559,G7,1.60,1.36
SRR11846559,GALILEO,0.00,0.00
SRR11846559,GEM,0.31,0.00
SRR11846559,GTWIN,4.56,3.26
SRR11846559,gypsy-29-dsim,0.09,0.01
SRR11846559,gypsy-7-dsim,3.58,0.09
SRR11846559,GYPSY10,7.03,4.63
SRR11846559,GYPSY11,2.44,1.31
SRR11846559,GYPSY12,6.58,2.32
SRR11846559,GYPSY2,10.84,8.12
SRR11846559,GYPSY3,5.91,4.18
SRR11846559,GYPSY4,23.11,20.98
SRR11846559,GYPSY5,2.49,1.30
SRR11846559,GYPSY6,11.67,10.27
SRR11846559,GYPSY7,7.89,6.16
SRR11846559,GYPSY8,4.09,2.11
SRR11846559,GYPSY9,2.39,1.46
SRR11846559,HEL,6.53,5.27
SRR11846559,HELITRON1_DM,0.68,0.66
SRR11846559,HETAVIR,0.00,0.00
SRR11846559,HOPPER2,6.45,4.61
SRR11846559,INE1,53.63,9.23
SRR11846559,INVADER,20.75,12.35
SRR11846559,INVADER2,28.45,24.45
SRR11846559,INVADER3,12.91,11.06
SRR11846559,INVADER4,17.08,9.49
SRR11846559,INVADER5,1.63,1.05
SRR11846559,INVADER6,4.37,3.68
SRR11846559,ISBU1,0.25,0.00
SRR11846559,ISBU2,0.01,0.00
SRR11846559,ISBU3,0.00,0.00
SRR11846559,IVK,23.51,21.41
SRR11846559,JOCKEY2,5.63,3.87
SRR11846559,JUAN,17.35,17.16
SRR11846559,KEPLER,34.10,0.02
SRR11846559,LOOPER1_DM,3.20,2.61
SRR11846559,M14653,0.00,0.00
SRR11846559,MAR,0.00,0.00
SRR11846559,MARINER2,14.67,10.32
SRR11846559,McCLINTOCK,11.26,9.38
