Sample,TE,All_reads,HQ_reads
SRR11846555,rnd-1_family-1_copia,15.77,6.09
SRR11846555,rnd-1_family-85_gypsy,14.03,8.56
SRR11846555,rnd-5_family-560_Pao,13.59,9.43
SRR11846555,roo,162.76,137.20
SRR11846555,rooA,10.94,8.02
SRR11846555,rover,11.85,9.23
SRR11846555,Rt1a,14.91,12.71
SRR11846555,Rt1b,53.17,47.82
SRR11846555,S-element,41.18,17.68
SRR11846555,S2,7.10,4.35
SRR11846555,springer,6.04,4.29
SRR11846555,Stalker,25.44,2.41
SRR11846555,Stalker2,9.66,6.46
SRR11846555,Stalker4,30.17,0.99
SRR11846555,Tabor,10.67,8.54
SRR11846555,TAHRE,8.01,6.44
SRR11846555,TART-A,5.48,2.96
SRR11846555,TART-B,7.75,4.66
SRR11846555,TART-C,18.73,15.02
SRR11846555,Tc1-2,15.85,13.23
SRR11846555,Tc1_DM,23.07,19.33
SRR11846555,Tc3,1.97,0.35
SRR11846555,Tirant,0.38,0.05
SRR11846555,Tom,4.42,2.59
SRR11846555,transib1,4.12,3.58
SRR11846555,Transib2,17.60,14.66
SRR11846555,transib3,6.48,5.17
SRR11846555,transib4,3.45,2.55
SRR11846555,Transib5,6.15,5.04
SRR11846555,Transpac,22.17,19.71
SRR11846555,X-element,7.79,2.31
SRR11846555,ZAM,4.82,3.80
Sample,TE,All_reads,HQ_reads
SRR11846559,1360,93.38,72.79
SRR11846559,6,29.24,24.63
SRR11846559,1731,21.06,19.11
SRR11846559,297,50.74,41.32
SRR11846559,412,31.51,20.73
SRR11846559,accord,7.13,5.69
SRR11846559,accord2,7.18,5.24
SRR11846559,Baggins1,38.29,32.41
SRR11846559,Bari1,48.95,48.10
SRR11846559,Bari2,3.20,2.12
SRR11846559,BEL,13.60,12.17
SRR11846559,Bica,12.77,12.00
SRR11846559,blood,22.85,20.81
SRR11846559,BS,17.11,13.27
SRR11846559,BS2,9.01,1.02
SRR11846559,BS3,14.35,10.58
SRR11846559,BS4,1.47,1.29
SRR11846559,Burdock,11.96,10.48
SRR11846559,Chimpo,6.49,5.76
SRR11846559,Chouto,7.81,5.50
SRR11846559,Circe,28.04,24.75
SRR11846559,copia,30.43,27.17
SRR11846559,copia2,9.44,0.08
SRR11846559,diver,15.63,13.23
SRR11846559,diver2,13.47,10.15
SRR11846559,Dm88,9.81,0.05
SRR11846559,dmel_Antennapedia,1.00,0.98
SRR11846559,dmel_Osi6,0.93,0.91
SRR11846559,dmel_wingless,1.00,0.99
SRR11846559,DMRT1A,99.10,81.96
SRR11846559,DMRT1C,6.30,4.40
SRR11846559,DNAREP1,217.83,51.97
SRR11846559,DNAREP1-like,7.88,1.11
SRR11846559,Doc,102.78,100.75
SRR11846559,Doc2,20.18,19.24
SRR11846559,Doc3,29.75,25.93
SRR11846559,Doc4,6.55,4.75
SRR11846559,Doc5,14.16,11.65
SRR11846559,F-element,90.12,39.05
SRR11846559,family-0_Copia-like,6.82,2.09
SRR11846559,family-0_MULE-NOF,2179.62,1362.24
SRR11846559,family-100_HMS-beagle,3.24,2.86
SRR11846559,family-105_gypsy,1.43,1.26
SRR11846559,family-110_gypsy_SAP,20.21,18.69
SRR11846559,family-1124_gypsy-frag,3.73,3.13
SRR11846559,family-113_micropia-like,1.55,1.30
SRR11846559,family-117_gypsy,17.28,8.08
SRR11846559,family-1205_Tc3,2.44,0.35
SRR11846559,family-134_gypsy,11.92,6.70
SRR11846559,family-139_FW2-like,32.86,5.39
SRR11846559,family-1439_Tc3,3.19,1.31
SRR11846559,family-149_HMS-beagle,3.94,3.40
SRR11846559,family-15_G-like,10.64,1.03
SRR11846559,family-2202_Pao,6.94,4.48
SRR11846559,family-2226_Tc1-like,4.66,1.64
SRR11846559,family-2266_Blastopia-like,1.19,0.88
SRR11846559,family-252_hAT_BEDzf,25.43,21.51
SRR11846559,family-325_gypsy,3.53,3.14
SRR11846559,family-358_hAT,2.40,1.94
SRR11846559,family-3655_gypsy,2.58,2.35
SRR11846559,family-3830_accord-like,2.19,1.76
SRR11846559,family-4408_gypsy,4.41,1.63
SRR11846559,family-447_HETA-like,2.63,0.83
SRR11846559,family-4955_hAT,7.57,5.51
SRR11846559,family-49_Tc3,4.43,4.30
SRR11846559,family-5171_Pao,3.54,3.01
SRR11846559,family-53_gypsy_truncated,19.51,6.96
SRR11846559,family-58_micropia-like,1.81,1.60
SRR11846559,family-6086_diver,7.45,3.96
SRR11846559,family-63_micropia-like,11.13,10.10
SRR11846559,family-70_diver-like,13.80,1.88
SRR11846559,family-70_Diver2-like,5.79,3.53
SRR11846559,family-7121_ninja-like,4.31,2.23
SRR11846559,family-732_gypsy,5.10,4.61
SRR11846559,family-92_copia-like,2.02,1.88
SRR11846559,family-966_Pao,2.10,0.66
SRR11846559,family-999_gypsy,3.59,3.01
SRR11846559,FB,251.00,138.50
SRR11846559,flea,19.77,18.38
SRR11846559,frogger,3.47,2.78
SRR11846559,Fw2,4.10,3.53
SRR11846559,Fw3,2.97,2.38
SRR11846559,G-element,9.87,5.88
SRR11846559,G2,19.22,15.78
SRR11846559,G3,2.32,1.91
SRR11846559,G4,11.32,9.65
SRR11846559,G5,7.97,6.63
SRR11846559,G5A,10.54,7.77
SRR11846559,G6,12.91,12.61
SRR11846559,GATE,22.23,18.98
SRR11846559,Gedeo_Dmel,2.85,1.62
SRR11846559,gtwin,3.26,2.45
SRR11846559,gypsy,10.53,7.97
SRR11846559,gypsy10,2.41,1.07
SRR11846559,gypsy11,2.60,1.32
SRR11846559,gypsy12,6.06,2.75
SRR11846559,gypsy12A,6.55,2.37
SRR11846559,gypsy2,10.78,8.05
SRR11846559,gypsy2S,12.68,9.83
SRR11846559,gypsy3,5.98,4.18
SRR11846559,gypsy4,23.07,20.92
SRR11846559,gypsy5,2.49,1.32
SRR11846559,gypsy6,10.61,3.74
SRR11846559,gypsy7,8.94,7.46
SRR11846559,gypsy8,5.56,2.94
SRR11846559,gypsy9,2.39,1.46
SRR11846559,HB,17.82,10.75
SRR11846559,Helena,6.59,5.34
SRR11846559,HeT-A,3.02,0.87
SRR11846559,HMS-Beagle,24.28,20.50
SRR11846559,hobo,36.39,33.82
SRR11846559,hopper,13.35,4.13
SRR11846559,hopper2,6.08,4.44
SRR11846559,I-element,36.99,31.80
SRR11846559,Idefix,28.82,21.32
SRR11846559,invader1,20.79,12.38
SRR11846559,invader2,28.46,24.47
SRR11846559,invader3,12.94,11.04
SRR11846559,invader4,17.12,9.48
SRR11846559,invader5,1.64,1.04
SRR11846559,Ivk,23.50,21.42
SRR11846559,jockey,32.23,31.59
SRR11846559,jockey2,5.66,3.87
SRR11846559,Juan,17.35,17.16
SRR11846559,looper1,3.17,2.60
SRR11846559,M4DM,14.43,3.55
SRR11846559,mariner2,14.74,10.38
SRR11846559,Max-element,18.00,15.63
SRR11846559,McClintock,6.20,0.33
SRR11846559,mdg1,45.53,37.88
SRR11846559,mdg3,23.20,20.75
SRR11846559,micropia,18.63,15.22
SRR11846559,Minos_DM,0.79,0.76
SRR11846559,ninja-aurora,11.18,9.96
SRR11846559,NOF,16.92,13.99
SRR11846559,Nomad,33.47,27.35
SRR11846559,P-element,0.00,0.00
SRR11846559,Phanio_Dmel,8.64,4.84
SRR11846559,Phidippo_Dmel,6.73,4.97
SRR11846559,Pifo_A,3.24,2.71
SRR11846559,pogo,18.06,16.97
SRR11846559,Quasimodo,46.04,36.17
SRR11846559,Quasimodo2,5.02,0.01
SRR11846559,R1,164.73,53.73
SRR11846559,R1-2,2.13,1.47
SRR11846559,R1A1-element,144.56,50.60
SRR11846559,R2-element,45.64,44.93
SRR11846559,rnd-1_family-13_jockey,2.10,0.16
SRR11846559,rnd-1_family-1_copia,14.48,5.10
SRR11846559,rnd-1_family-85_gypsy,14.70,9.17
SRR11846559,rnd-5_family-560_Pao,12.85,9.42
SRR11846559,roo,138.54,116.27
SRR11846559,rooA,12.26,8.99
SRR11846559,rover,14.47,11.57
SRR11846559,Rt1a,19.30,17.21
SRR11846559,Rt1b,55.25,49.89
SRR11846559,S-element,36.54,16.07
SRR11846559,S2,8.75,5.66
SRR11846559,springer,11.20,8.66
SRR11846559,Stalker,27.18,2.38
SRR11846559,Stalker2,19.83,14.47
SRR11846559,Stalker4,34.02,1.30
SRR11846559,Tabor,9.09,7.18
SRR11846559,TAHRE,1.97,1.15
SRR11846559,TART-A,0.04,0.01
SRR11846559,TART-B,0.92,0.66
SRR11846559,TART-C,0.01,0.00
SRR11846559,Tc1-2,16.38,13.60
SRR11846559,Tc1_DM,22.64,19.27
SRR11846559,Tc3,2.16,0.46
SRR11846559,Tirant,3.73,2.70
SRR11846559,Tom,4.66,2.76
SRR11846559,transib1,4.78,4.20
SRR11846559,Transib2,16.05,13.21
SRR11846559,transib3,7.07,5.74
SRR11846559,transib4,3.46,2.60
SRR11846559,Transib5,6.97,5.82
SRR11846559,Transpac,23.49,20.83
SRR11846559,X-element,12.40,4.01
SRR11846559,ZAM,5.92,4.80
Sample,TE,All_reads,HQ_reads
SRR11846565,1360,93.45,73.20
SRR11846565,6,28.37,24.24
SRR11846565,1731,15.51,14.12
SRR11846565,297,43.42,35.21
SRR11846565,412,21.78,13.66
SRR11846565,accord,10.97,8.89
SRR11846565,accord2,8.39,6.40
SRR11846565,Baggins1,44.14,37.48
SRR11846565,Bari1,44.26,43.46
SRR11846565,Bari2,2.82,2.01
SRR11846565,BEL,22.54,20.41
SRR11846565,Bica,13.62,12.82
SRR11846565,blood,13.00,11.71
SRR11846565,BS,16.41,14.02
SRR11846565,BS2,10.41,1.08
SRR11846565,BS3,14.91,11.07
SRR11846565,BS4,1.71,1.52
SRR11846565,Burdock,18.47,16.43
SRR11846565,Chimpo,12.60,11.53
SRR11846565,Chouto,8.62,6.26
