Sample,TE,All_reads,HQ_reads
SRR9913024,RT1B,36.66,29.64
SRR9913024,RT1C,30.26,20.22
SRR9913024,S2,0.33,0.17
SRR9913024,SGM,0.09,0.00
SRR9913024,SPOCK,0.00,0.00
SRR9913024,SPRINGER,1.63,0.39
SRR9913024,STALKER,4.15,0.12
SRR9913024,STALKER2,7.02,4.58
SRR9913024,STALKER3,0.00,0.00
SRR9913024,STALKER4,5.58,0.09
SRR9913024,TABOR,16.50,13.68
SRR9913024,TAHRE,4.13,1.79
SRR9913024,TAKR1A2,0.00,0.00
SRR9913024,TARTC,0.44,0.00
SRR9913024,TARTVIR,0.45,0.01
SRR9913024,TARTYAK,0.45,0.00
SRR9913024,TC1,20.59,15.57
SRR9913024,TC1-2,8.76,7.34
SRR9913024,TC3,0.00,0.00
SRR9913024,Tinker,11.63,10.72
SRR9913024,TIRANT,10.49,8.70
SRR9913024,TRANSIB1,12.45,10.77
SRR9913024,TRANSIB2,27.36,23.36
SRR9913024,TRANSIB3,1.29,0.99
SRR9913024,TRANSIB4,1.55,1.01
SRR9913024,TV1,0.00,0.00
SRR9913024,U73803,0.00,0.00
SRR9913024,VEGE,0.00,0.00
SRR9913024,VIRUVIR,0.00,0.00
SRR9913024,WORF,0.00,0.00
SRR9913024,YAKHETA,0.00,0.00
