Sample,TE,All_reads,HQ_reads
SRR5860660,1360,29.71,18.24
SRR5860660,412,17.74,13.57
SRR5860660,ACCORD,10.42,7.36
SRR5860660,AF009439,0.00,0.00
SRR5860660,AF056940,0.01,0.00
SRR5860660,AF222049,9.68,8.42
SRR5860660,AF418572,0.00,0.00
SRR5860660,AF541951,0.21,0.04
SRR5860660,AY561850,1.61,0.62
SRR5860660,BAGGINS,54.74,48.30
SRR5860660,Beagle,10.89,8.11
SRR5860660,Beagle2,0.90,0.31
SRR5860660,BLOOD,6.62,5.88
SRR5860660,BS,5.96,4.97
SRR5860660,BS3,10.10,8.19
SRR5860660,BS4,2.43,1.72
SRR5860660,BUT1,0.00,0.00
SRR5860660,BUT2,0.00,0.00
SRR5860660,BUT3,0.00,0.00
SRR5860660,BUT4,0.00,0.00
SRR5860660,BUT5,0.00,0.00
SRR5860660,BUT6,0.00,0.00
SRR5860660,CIRC,6.46,5.60
SRR5860660,DBU133521,0.00,0.00
SRR5860660,DDBARI1,0.44,0.14
SRR5860660,DFU309320,0.19,0.00
SRR5860660,DH14600,0.00,0.00
SRR5860660,DHMINOS,0.04,0.01
SRR5860660,DHUHUH3,0.00,0.00
SRR5860660,DIVER2,51.08,40.55
SRR5860660,DK29466,0.00,0.00
SRR5860660,DM06920,3.84,0.91
SRR5860660,DM14101,0.74,0.17
SRR5860660,DM23420,21.51,19.46
SRR5860660,DM33463,0.66,0.16
SRR5860660,DM88,5.86,5.06
SRR5860660,DM_ROO,19.18,16.84
SRR5860660,DMAURA,8.24,2.44
SRR5860660,DMBARI1,2.57,2.25
SRR5860660,DMBLPP,23.48,22.35
SRR5860660,DMCOPIA,8.11,7.49
SRR5860660,DMCR1A,105.87,85.63
SRR5860660,DMDM11,19.57,16.42
SRR5860660,DME010298,27.60,23.29
SRR5860660,DME278684,2.24,1.09
SRR5860660,DME487856,39.58,36.04
SRR5860660,DME9736,3.73,1.53
SRR5860660,DMGYPF1A,5.26,2.95
SRR5860660,DMHFL1,9.40,7.54
SRR5860660,DMIFACA,24.30,19.34
SRR5860660,DMIS176,0.42,0.11
SRR5860660,DMIS297,19.68,14.73
SRR5860660,DMLINEJA,14.67,14.38
SRR5860660,DMMAR,0.76,0.00
