Sample,TE,All_reads,HQ_reads
SRR11846555,BEL_22_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_22_DTa_I_LTR_Pao,0.01,0.00
SRR11846555,BEL_2_DAn_I_LTR_Pao,0.01,0.00
SRR11846555,BEL_2_DBi_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DEl_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_Deu_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DFi_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DGri_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DPer_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DRh_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DSe_I_LTR_Pao,8.17,6.86
SRR11846555,BEL_2_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DVir_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_2_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DBi_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DEl_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_Deu_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DFi_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DGri_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DMoj_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DPer_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DRh_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DVir_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_3_DYa_I_LTR_Pao,0.21,0.07
SRR11846555,BEL_4_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DBi_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DEl_I_LTR_Pao,0.01,0.00
SRR11846555,BEL_4_DEu_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DFi_I_LTR_Pao,0.02,0.00
SRR11846555,BEL_4_DMoj_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DPer_I_LTR_Pao,0.01,0.00
SRR11846555,BEL_4_DPse_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DRh_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DVir_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_4_DYa_I_LTR_Pao,0.15,0.02
SRR11846555,BEL_5_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DEl_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DEu_I_LTR_Pao,0.12,0.01
SRR11846555,BEL_5_DFi_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DMoj_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DPer_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DRh_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DVir_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_5_DYa_I_LTR_Pao,0.01,0.00
SRR11846555,BEL_6_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DEl_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DMoj_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DPe_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DPer_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DRh_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_6_DYa_I_LTR_Pao,9.69,4.49
