Sample,TE,All_reads,HQ_reads
SRR14298064,dmel_Antennapedia,0.86,0.84
SRR14298064,dmel_wingless,1.14,1.13
SRR14298064,gypsy-29-dsim,0.24,0.00
SRR14298064,gypsy-7-sim1,2.18,0.05
SRR14298064,PPI251,10.28,9.96
