Sample,TE,All_reads,HQ_reads
SRR1560097,TIRANT,2.82,2.06
SRR1560097,TRANSIB1,14.21,12.68
SRR1560097,TRANSIB2,16.48,13.29
SRR1560097,TRANSIB3,2.38,1.84
SRR1560097,TRANSIB4,2.41,1.56
SRR1560097,TV1,0.00,0.00
SRR1560097,U73803,0.00,0.00
SRR1560097,VEGE,0.00,0.00
SRR1560097,VIRUVIR,0.00,0.00
SRR1560097,WORF,0.00,0.00
SRR1560097,YAKHETA,0.00,0.00
