Sample,TE,All_reads,HQ_reads
SRR5860658,1360,31.95,19.72
SRR5860658,412,18.94,14.57
SRR5860658,ACCORD,10.89,7.94
SRR5860658,AF009439,0.00,0.00
SRR5860658,AF056940,0.02,0.00
SRR5860658,AF222049,10.55,9.20
SRR5860658,AF418572,0.00,0.00
SRR5860658,AF541951,0.15,0.03
SRR5860658,AY561850,1.44,0.60
SRR5860658,BAGGINS,54.53,48.03
SRR5860658,Beagle,11.04,8.36
SRR5860658,Beagle2,0.94,0.31
SRR5860658,BLOOD,7.02,6.25
SRR5860658,BS,6.09,5.04
SRR5860658,BS3,9.72,7.81
SRR5860658,BS4,2.80,1.93
SRR5860658,BUT1,0.00,0.00
SRR5860658,BUT2,0.00,0.00
SRR5860658,BUT3,0.00,0.00
SRR5860658,BUT4,0.00,0.00
SRR5860658,BUT5,0.00,0.00
SRR5860658,BUT6,0.00,0.00
SRR5860658,CIRC,6.57,5.70
SRR5860658,DBU133521,0.00,0.00
SRR5860658,DDBARI1,0.48,0.15
SRR5860658,DFU309320,0.20,0.00
SRR5860658,DH14600,0.00,0.00
SRR5860658,DHMINOS,0.05,0.01
SRR5860658,DHUHUH3,0.00,0.00
SRR5860658,DIVER2,50.86,39.85
SRR5860658,DK29466,0.00,0.00
SRR5860658,DM06920,2.91,0.69
SRR5860658,DM14101,0.61,0.13
SRR5860658,DM23420,21.41,19.19
SRR5860658,DM33463,0.81,0.21
SRR5860658,DM88,6.23,5.40
SRR5860658,DM_ROO,15.84,13.76
SRR5860658,DMAURA,7.81,2.35
SRR5860658,DMBARI1,2.69,2.37
SRR5860658,DMBLPP,24.38,23.19
SRR5860658,DMCOPIA,9.10,8.39
SRR5860658,DMCR1A,112.57,90.73
SRR5860658,DMDM11,19.26,16.14
SRR5860658,DME010298,26.50,22.29
SRR5860658,DME278684,2.09,1.03
SRR5860658,DME487856,38.55,35.06
SRR5860658,DME9736,3.93,1.57
SRR5860658,DMGYPF1A,5.09,2.84
SRR5860658,DMHFL1,8.88,7.08
SRR5860658,DMIFACA,27.52,22.03
SRR5860658,DMIS176,0.41,0.09
SRR5860658,DMIS297,21.58,16.19
SRR5860658,DMLINEJA,14.22,13.94
SRR5860658,DMMAR,0.81,0.00
SRR5860658,DMMDG3,5.16,3.85
SRR5860658,DMPOGOR11,0.00,0.00
SRR5860658,DMREPG,4.73,2.59
SRR5860658,DMRER1DM,118.34,91.03
SRR5860658,DMRER2DM,23.06,21.38
SRR5860658,DMRTMGD1,3.52,2.54
SRR5860658,DMTHB1,16.53,8.76
SRR5860658,DMTN1731,9.82,8.89
SRR5860658,DMTNFB,24.30,8.99
SRR5860658,DMTOM1_LTR,26.54,21.46
SRR5860658,DMTRAM,0.00,0.00
SRR5860658,DMTRDNA,13.30,6.28
SRR5860658,DMTRIM,0.00,0.00
SRR5860658,DMU89994,9.60,8.60
SRR5860658,DMW1DOC,9.84,8.60
SRR5860658,DMZAM,4.46,3.59
SRR5860658,DNTOMRETA,0.23,0.01
SRR5860658,DOC2,13.07,12.50
SRR5860658,DOC3,21.24,18.29
SRR5860658,DOC4,2.14,1.51
SRR5860658,DOC5,5.98,4.69
SRR5860658,DPSEMINIME,0.04,0.00
SRR5860658,dsec_Antennapedia,0.95,0.95
SRR5860658,dsec_Osi6,1.09,1.08
SRR5860658,dsec_wingless,1.05,1.04
SRR5860658,DSRN,11.93,7.22
SRR5860658,DSV28T24,0.00,0.00
SRR5860658,DTEII,1.14,0.21
SRR5860658,DV26847,0.38,0.00
SRR5860658,DV49102,0.00,0.00
SRR5860658,DVRPPDV,0.00,0.00
SRR5860658,DVULYSS,0.00,0.00
SRR5860658,F,65.88,62.18
SRR5860658,FB,1.83,1.37
SRR5860658,FROGGER,1.08,0.79
SRR5860658,FW2,4.79,3.90
SRR5860658,FW3,1.84,1.29
SRR5860658,G2,6.71,3.56
SRR5860658,G3,0.37,0.13
SRR5860658,G4_DM,3.61,3.17
SRR5860658,G5_DM,49.27,40.76
SRR5860658,G5A,18.56,12.71
SRR5860658,G6_DM,106.11,102.53
SRR5860658,G7,0.35,0.19
SRR5860658,GALILEO,0.00,0.00
SRR5860658,GEM,0.09,0.00
SRR5860658,GTWIN,9.51,5.37
SRR5860658,gypsy-29-dsim,0.04,0.00
SRR5860658,gypsy-7-dsim,0.89,0.06
SRR5860658,GYPSY10,4.23,2.67
SRR5860658,GYPSY11,1.67,0.65
SRR5860658,GYPSY12,12.53,6.49
SRR5860658,GYPSY2,0.56,0.18
SRR5860658,GYPSY3,2.42,1.11
SRR5860658,GYPSY4,5.51,4.83
SRR5860658,GYPSY5,0.78,0.11
SRR5860658,GYPSY6,0.08,0.00
SRR5860658,GYPSY7,1.26,0.86
SRR5860658,GYPSY8,10.20,4.15
SRR5860658,GYPSY9,1.64,0.97
SRR5860658,HEL,18.24,16.84
SRR5860658,HELITRON1_DM,0.00,0.00
SRR5860658,HETAVIR,0.00,0.00
SRR5860658,HOPPER2,1.37,0.31
SRR5860658,INE1,59.84,11.59
SRR5860658,INVADER,7.81,5.68
SRR5860658,INVADER2,20.24,18.44
SRR5860658,INVADER3,20.81,18.61
SRR5860658,INVADER4,1.85,0.68
SRR5860658,INVADER5,0.83,0.28
SRR5860658,INVADER6,10.81,8.74
SRR5860658,ISBU1,0.23,0.00
SRR5860658,ISBU2,0.03,0.00
SRR5860658,ISBU3,0.00,0.00
SRR5860658,IVK,8.17,6.81
SRR5860658,JOCKEY2,4.46,2.72
SRR5860658,JUAN,13.82,13.72
SRR5860658,KEPLER,1.24,0.00
SRR5860658,LOOPER1_DM,1.16,0.83
SRR5860658,M14653,0.77,0.00
SRR5860658,MAR,0.00,0.00
SRR5860658,MARINER2,5.24,3.69
SRR5860658,McCLINTOCK,8.72,7.68
SRR5860658,MD106_gypsy6_Dse,21.06,17.63
SRR5860658,MERCR1A3,0.00,0.00
SRR5860658,NEOR1A,0.47,0.01
SRR5860658,NETR1B,0.00,0.00
SRR5860658,NEWTON,0.00,0.00
SRR5860658,OPUS,11.83,9.86
SRR5860658,OSV,13.88,5.53
SRR5860658,P_M,0.00,0.00
SRR5860658,P_O,0.00,0.00
SRR5860658,P_T,0.03,0.00
SRR5860658,PPI251,0.01,0.01
SRR5860658,Q,9.86,0.07
SRR5860658,QBERT,5.65,4.40
SRR5860658,QUASIMODO,0.23,0.00
SRR5860658,R1-2,2.24,1.27
SRR5860658,ROOA_LTR,16.63,12.17
SRR5860658,ROVER,0.53,0.09
SRR5860658,ROXELEMENT,41.49,37.45
SRR5860658,RT1B,35.17,28.88
SRR5860658,RT1C,31.32,21.52
SRR5860658,S2,0.46,0.22
SRR5860658,SGM,0.11,0.00
SRR5860658,SPOCK,0.00,0.00
SRR5860658,SPRINGER,1.05,0.27
SRR5860658,STALKER,3.07,0.15
SRR5860658,STALKER2,6.42,4.86
SRR5860658,STALKER3,0.00,0.00
SRR5860658,STALKER4,3.90,0.07
SRR5860658,TABOR,9.16,7.77
SRR5860658,TAHRE,1.89,0.76
SRR5860658,TAKR1A2,0.00,0.00
SRR5860658,TARTC,0.24,0.00
SRR5860658,TARTVIR,0.53,0.01
SRR5860658,TARTYAK,0.22,0.00
SRR5860658,TC1,19.21,14.15
SRR5860658,TC1-2,8.86,7.37
SRR5860658,TC3,0.01,0.00
SRR5860658,Tinker,7.45,6.88
SRR5860658,TIRANT,7.47,6.12
SRR5860658,TRANSIB1,11.48,9.72
SRR5860658,TRANSIB2,26.14,22.38
SRR5860658,TRANSIB3,1.34,0.97
SRR5860658,TRANSIB4,1.50,0.95
SRR5860658,TV1,0.00,0.00
SRR5860658,U73803,0.00,0.00
SRR5860658,VEGE,0.00,0.00
SRR5860658,VIRUVIR,0.00,0.00
SRR5860658,WORF,0.00,0.00
SRR5860658,YAKHETA,0.00,0.00
