Sample,TE,All_reads,HQ_reads
SRR5860661,QUASIMODO,0.23,0.00
SRR5860661,R1-2,2.07,1.17
SRR5860661,ROOA_LTR,16.11,11.81
SRR5860661,ROVER,0.60,0.09
SRR5860661,ROXELEMENT,38.25,34.38
SRR5860661,RT1B,33.51,27.67
SRR5860661,RT1C,29.53,20.08
SRR5860661,S2,0.34,0.19
SRR5860661,SGM,0.11,0.00
SRR5860661,SPOCK,0.00,0.00
SRR5860661,SPRINGER,0.96,0.24
SRR5860661,STALKER,2.97,0.11
SRR5860661,STALKER2,7.26,5.64
SRR5860661,STALKER3,0.00,0.00
SRR5860661,STALKER4,3.81,0.07
SRR5860661,TABOR,9.24,7.90
SRR5860661,TAHRE,2.41,0.97
SRR5860661,TAKR1A2,0.00,0.00
SRR5860661,TARTC,0.27,0.00
SRR5860661,TARTVIR,0.48,0.01
SRR5860661,TARTYAK,0.23,0.00
SRR5860661,TC1,17.94,13.24
SRR5860661,TC1-2,9.34,7.90
SRR5860661,TC3,0.00,0.00
SRR5860661,Tinker,7.17,6.65
SRR5860661,TIRANT,7.43,6.08
SRR5860661,TRANSIB1,11.65,9.93
SRR5860661,TRANSIB2,26.10,22.43
SRR5860661,TRANSIB3,1.29,0.95
SRR5860661,TRANSIB4,1.61,1.03
SRR5860661,TV1,0.00,0.00
SRR5860661,U73803,0.00,0.00
SRR5860661,VEGE,0.00,0.00
SRR5860661,VIRUVIR,0.00,0.00
SRR5860661,WORF,0.00,0.00
SRR5860661,YAKHETA,0.00,0.00
