Sample,TE,All_reads,HQ_reads
Sample,TE,All_reads,HQ_reads
SRR5860641_1,alaserpin,1.01,0.98
SRR5860641_1,tryspinalpha,0.93,0.91
SRR5860641_1,seminase,1.06,1.02
SRR5860641_1,Shellder,0.91,0.01
SRR5860641_1,Spoink,8.63,0.12
SRR5860641_1,PPI251,0.00,0.00
Sample,TE,All_reads,HQ_reads
SRR5860641_2,Spoink,6.89,0.10
SRR5860641_2,seminase,1.07,1.03
SRR5860641_2,PPI251,0.00,0.00
SRR5860641_2,alaserpin,1.00,0.97
SRR5860641_2,Shellder,0.89,0.02
SRR5860641_2,tryspinalpha,0.94,0.91
Sample,TE,All_reads,HQ_reads
SRR5860642_1,Shellder,0.79,0.02
SRR5860642_1,PPI251,0.00,0.00
SRR5860642_1,alaserpin,0.90,0.89
SRR5860642_1,Spoink,8.05,0.12
SRR5860642_1,seminase,1.12,1.10
SRR5860642_1,tryspinalpha,0.97,0.95
Sample,TE,All_reads,HQ_reads
SRR5860642_2,tryspinalpha,0.99,0.97
SRR5860642_2,alaserpin,0.91,0.89
SRR5860642_2,PPI251,0.00,0.00
SRR5860642_2,Shellder,0.77,0.02
SRR5860642_2,Spoink,6.10,0.10
SRR5860642_2,seminase,1.11,1.07
