Sample,TE,All_reads,HQ_reads
ERR668316,Souslik,7.99,7.26
ERR668316,spoink,17.41,15.24
ERR668316,TIRANT,4.79,3.66
ERR668316,Transib1,16.38,15.09
Sample,TE,All_reads,HQ_reads
ERR668317,412,25.20,19.58
ERR668317,BLOOD,8.19,7.33
ERR668317,DMHFL1,32.09,29.87
ERR668317,DMIFACA,21.85,20.00
ERR668317,dsim_Antennapedia,0.96,0.93
ERR668317,micropia,0.03,0.00
ERR668317,OPUS,8.14,5.95
ERR668317,PPI251,0.00,0.00
ERR668317,Shellder,17.04,15.23
ERR668317,Souslik,7.67,6.91
ERR668317,spoink,16.21,14.45
ERR668317,TIRANT,2.65,1.74
ERR668317,Transib1,12.21,11.16
Sample,TE,All_reads,HQ_reads
ERR668318,412,20.19,15.68
ERR668318,BLOOD,10.93,9.94
ERR668318,DMHFL1,45.95,43.80
ERR668318,DMIFACA,18.96,17.10
ERR668318,dsim_Antennapedia,0.99,0.96
ERR668318,micropia,0.03,0.00
ERR668318,OPUS,5.54,3.95
ERR668318,PPI251,0.00,0.00
ERR668318,Shellder,31.89,28.26
ERR668318,Souslik,3.47,3.05
ERR668318,spoink,24.86,21.15
ERR668318,TIRANT,6.86,5.47
ERR668318,Transib1,15.73,14.54
Sample,TE,All_reads,HQ_reads
ERR668319,412,23.62,17.81
ERR668319,BLOOD,6.60,5.73
ERR668319,DMHFL1,37.82,35.37
ERR668319,DMIFACA,21.75,19.77
ERR668319,dsim_Antennapedia,0.93,0.91
ERR668319,micropia,0.06,0.00
ERR668319,OPUS,10.39,8.00
ERR668319,PPI251,0.00,0.00
ERR668319,Shellder,14.00,12.52
ERR668319,Souslik,3.13,2.66
ERR668319,spoink,15.94,14.06
ERR668319,TIRANT,5.43,4.22
ERR668319,Transib1,15.97,14.64
Sample,TE,All_reads,HQ_reads
ERR668320,412,18.07,13.63
ERR668320,BLOOD,7.09,6.30
ERR668320,DMHFL1,36.23,33.67
ERR668320,DMIFACA,20.11,18.07
ERR668320,dsim_Antennapedia,0.96,0.95
ERR668320,micropia,0.02,0.00
ERR668320,OPUS,8.78,6.63
ERR668320,PPI251,0.00,0.00
ERR668320,Shellder,17.30,15.45
ERR668320,Souslik,6.06,5.41
ERR668320,spoink,18.27,16.06
ERR668320,TIRANT,2.65,1.78
ERR668320,Transib1,19.62,18.02
Sample,TE,All_reads,HQ_reads
ERR668321,412,19.23,14.68
ERR668321,BLOOD,9.53,8.59
ERR668321,DMHFL1,28.17,25.82
ERR668321,DMIFACA,24.62,22.56
ERR668321,dsim_Antennapedia,0.94,0.92
ERR668321,micropia,0.04,0.00
ERR668321,OPUS,6.86,5.00
ERR668321,PPI251,0.00,0.00
ERR668321,Shellder,16.17,14.42
ERR668321,Souslik,6.03,5.41
ERR668321,spoink,5.05,4.09
ERR668321,TIRANT,2.51,1.73
ERR668321,Transib1,14.39,13.13
Sample,TE,All_reads,HQ_reads
ERR668322,412,21.85,16.57
ERR668322,BLOOD,19.13,17.04
ERR668322,DMHFL1,40.40,37.25
ERR668322,DMIFACA,16.11,14.45
ERR668322,dsim_Antennapedia,0.92,0.89
ERR668322,micropia,0.03,0.00
ERR668322,OPUS,5.22,3.75
ERR668322,PPI251,0.00,0.00
ERR668322,Shellder,17.39,15.86
ERR668322,Souslik,3.09,2.64
ERR668322,spoink,9.99,8.70
ERR668322,TIRANT,2.81,1.84
ERR668322,Transib1,9.82,8.98
Sample,TE,All_reads,HQ_reads
ERR668323,412,20.09,15.26
ERR668323,BLOOD,17.93,15.95
ERR668323,DMHFL1,40.76,37.60
ERR668323,DMIFACA,16.23,14.60
ERR668323,dsim_Antennapedia,0.91,0.89
ERR668323,micropia,0.02,0.00
ERR668323,OPUS,5.67,4.09
ERR668323,PPI251,0.00,0.00
