Sample,TE,All_reads,HQ_reads
SRR1560103,rnd-1_family-1_copia,8.42,2.68
SRR1560103,rnd-1_family-85_gypsy,12.30,4.33
SRR1560103,rnd-5_family-560_Pao,14.93,7.52
SRR1560103,roo,21.22,18.28
SRR1560103,rooA,18.21,12.88
SRR1560103,rover,0.48,0.08
SRR1560103,Rt1a,2.03,1.04
SRR1560103,Rt1b,13.62,11.05
SRR1560103,S-element,1.52,0.21
SRR1560103,S2,0.74,0.28
SRR1560103,springer,1.49,0.43
SRR1560103,Stalker,6.95,0.28
SRR1560103,Stalker2,9.81,7.59
SRR1560103,Stalker4,9.10,0.12
SRR1560103,Tabor,8.70,7.27
SRR1560103,TAHRE,0.59,0.23
SRR1560103,TART-A,5.29,2.47
SRR1560103,TART-B,1.76,0.29
SRR1560103,TART-C,1.15,0.23
SRR1560103,Tc1-2,14.99,12.90
SRR1560103,Tc1_DM,32.61,25.32
SRR1560103,Tc3,0.01,0.00
SRR1560103,Tirant,2.96,1.94
SRR1560103,Tom,4.23,1.96
SRR1560103,transib1,13.12,11.40
SRR1560103,Transib2,19.24,15.29
SRR1560103,transib3,2.74,2.09
SRR1560103,transib4,3.25,2.21
SRR1560103,Transib5,3.61,2.77
SRR1560103,Transpac,12.61,11.33
SRR1560103,X-element,23.18,5.81
SRR1560103,ZAM,1.49,1.13
