Sample,TE,All_reads,HQ_reads
SRR1560268,QUASIMODO,0.20,0.01
SRR1560268,R1-2,0.78,0.41
SRR1560268,ROOA_LTR,17.60,12.59
SRR1560268,ROVER,0.70,0.12
SRR1560268,ROXELEMENT,39.38,37.09
SRR1560268,RT1B,13.77,11.13
SRR1560268,RT1C,11.86,8.13
SRR1560268,S2,0.69,0.29
SRR1560268,SGM,0.11,0.00
SRR1560268,SPOCK,0.00,0.00
SRR1560268,SPRINGER,1.12,0.30
SRR1560268,STALKER,7.40,0.31
SRR1560268,STALKER2,7.73,5.96
SRR1560268,STALKER3,0.00,0.00
SRR1560268,STALKER4,9.63,0.12
SRR1560268,TABOR,5.61,4.43
SRR1560268,TAHRE,0.34,0.13
SRR1560268,TAKR1A2,0.00,0.00
SRR1560268,TARTC,0.13,0.00
SRR1560268,TARTVIR,0.20,0.00
SRR1560268,TARTYAK,0.17,0.00
SRR1560268,TC1,35.20,28.29
SRR1560268,TC1-2,16.76,14.86
SRR1560268,TC3,0.03,0.00
SRR1560268,Tinker,7.62,7.15
SRR1560268,TIRANT,2.78,1.99
SRR1560268,TRANSIB1,14.43,12.59
SRR1560268,TRANSIB2,18.12,14.66
SRR1560268,TRANSIB3,2.64,2.01
SRR1560268,TRANSIB4,3.07,2.07
SRR1560268,TV1,0.00,0.00
SRR1560268,U73803,0.00,0.00
SRR1560268,VEGE,0.00,0.00
SRR1560268,VIRUVIR,0.00,0.00
SRR1560268,WORF,0.00,0.00
SRR1560268,YAKHETA,0.00,0.00
