Sample,TE,All_reads,HQ_reads
SRR5860658,rnd-1_family-1_copia,9.91,3.25
SRR5860658,rnd-1_family-85_gypsy,17.25,4.20
SRR5860658,rnd-5_family-560_Pao,16.57,7.94
SRR5860658,roo,14.93,11.86
SRR5860658,rooA,16.52,11.93
SRR5860658,rover,0.52,0.09
SRR5860658,Rt1a,2.09,1.03
SRR5860658,Rt1b,35.26,29.04
SRR5860658,S-element,0.84,0.21
SRR5860658,S2,0.47,0.22
SRR5860658,springer,1.05,0.28
SRR5860658,Stalker,2.87,0.15
SRR5860658,Stalker2,6.71,4.84
SRR5860658,Stalker4,3.83,0.07
SRR5860658,Tabor,9.28,7.82
SRR5860658,TAHRE,1.71,0.59
SRR5860658,TART-A,1.48,0.61
SRR5860658,TART-B,0.63,0.14
SRR5860658,TART-C,0.37,0.09
SRR5860658,Tc1-2,8.83,7.30
SRR5860658,Tc1_DM,18.13,12.77
SRR5860658,Tc3,0.00,0.00
SRR5860658,Tirant,7.43,6.09
SRR5860658,Tom,7.16,4.07
SRR5860658,transib1,11.48,9.70
SRR5860658,Transib2,25.52,21.41
SRR5860658,transib3,1.33,0.97
SRR5860658,transib4,1.49,0.95
SRR5860658,Transib5,2.42,1.85
SRR5860658,Transpac,10.55,9.19
SRR5860658,X-element,20.47,4.31
SRR5860658,ZAM,4.47,3.57
