Sample,TE,All_reads,HQ_reads
SRR5860660,1360,30.02,18.48
SRR5860660,6,0.42,0.11
SRR5860660,1731,9.27,8.37
SRR5860660,297,19.54,14.56
SRR5860660,412,7.89,4.13
SRR5860660,accord,10.43,7.36
SRR5860660,accord2,5.34,4.10
SRR5860660,Baggins1,54.77,48.30
SRR5860660,Bari1,2.60,2.26
SRR5860660,Bari2,0.50,0.28
SRR5860660,BEL,21.71,19.67
SRR5860660,Bica,4.84,4.55
SRR5860660,blood,6.65,5.90
SRR5860660,BS,6.32,5.01
SRR5860660,BS2,17.67,0.54
SRR5860660,BS3,10.12,8.18
SRR5860660,BS4,2.37,1.72
SRR5860660,Burdock,8.97,7.93
SRR5860660,Chimpo,7.92,7.44
SRR5860660,Chouto,8.18,6.01
SRR5860660,Circe,6.47,5.60
SRR5860660,copia,8.11,7.49
SRR5860660,copia2,2.61,0.07
SRR5860660,diver,6.11,5.13
SRR5860660,diver2,48.86,38.59
SRR5860660,Dm88,2.85,0.04
SRR5860660,DMRT1A,108.00,96.03
SRR5860660,DMRT1C,38.33,28.47
SRR5860660,DNAREP1,222.69,59.62
SRR5860660,DNAREP1-like,4.72,0.02
SRR5860660,Doc,10.47,9.32
SRR5860660,Doc2,12.97,12.42
SRR5860660,Doc3,20.49,17.58
SRR5860660,Doc4,2.12,1.60
SRR5860660,Doc5,5.66,4.65
SRR5860660,dsec_Antennapedia,0.93,0.92
SRR5860660,dsec_Osi6,0.99,0.98
SRR5860660,dsec_wingless,1.07,1.07
SRR5860660,F-element,31.55,9.25
SRR5860660,family-0_Copia-like,4.92,0.67
SRR5860660,family-0_MULE-NOF,6.81,0.84
SRR5860660,family-100_HMS-beagle,0.01,0.00
SRR5860660,family-105_gypsy,0.35,0.15
SRR5860660,family-110_gypsy_SAP,20.59,17.90
SRR5860660,family-1124_gypsy-frag,1.96,1.65
SRR5860660,family-113_micropia-like,0.63,0.33
SRR5860660,family-117_gypsy,8.43,3.35
SRR5860660,family-1205_Tc3,0.01,0.00
SRR5860660,family-134_gypsy,5.10,1.80
SRR5860660,family-139_FW2-like,27.81,5.22
SRR5860660,family-1439_Tc3,0.41,0.01
SRR5860660,family-149_HMS-beagle,0.03,0.00
SRR5860660,family-15_G-like,5.44,0.10
SRR5860660,family-2202_Pao,3.44,1.52
SRR5860660,family-2226_Tc1-like,1.27,0.30
SRR5860660,family-2266_Blastopia-like,0.03,0.00
SRR5860660,family-252_hAT_BEDzf,0.35,0.14
SRR5860660,family-325_gypsy,5.25,3.93
SRR5860660,family-358_hAT,2.99,2.27
SRR5860660,family-3655_gypsy,0.53,0.18
SRR5860660,family-3830_accord-like,1.37,1.02
SRR5860660,family-4408_gypsy,3.34,0.04
SRR5860660,family-447_HETA-like,3.10,0.50
SRR5860660,family-4955_hAT,0.48,0.31
SRR5860660,family-49_Tc3,0.09,0.01
SRR5860660,family-5171_Pao,0.07,0.00
SRR5860660,family-53_gypsy_truncated,8.24,1.87
SRR5860660,family-58_micropia-like,11.58,10.98
SRR5860660,family-6086_diver,3.83,1.77
SRR5860660,family-63_micropia-like,8.32,6.67
SRR5860660,family-70_diver-like,4.01,0.44
SRR5860660,family-70_Diver2-like,3.18,1.46
SRR5860660,family-7121_ninja-like,8.78,4.95
SRR5860660,family-732_gypsy,5.99,4.61
SRR5860660,family-92_copia-like,0.00,0.00
SRR5860660,family-966_Pao,4.01,1.16
SRR5860660,family-999_gypsy,0.41,0.03
SRR5860660,FB,19.48,6.84
SRR5860660,flea,23.50,22.37
SRR5860660,frogger,1.12,0.86
SRR5860660,Fw2,4.74,3.83
SRR5860660,Fw3,1.66,1.18
SRR5860660,G-element,2.75,0.01
SRR5860660,G2,6.65,2.51
SRR5860660,G3,0.19,0.09
SRR5860660,G4,3.56,3.08
SRR5860660,G5,45.15,35.19
SRR5860660,G5A,17.84,12.02
SRR5860660,G6,107.95,104.25
SRR5860660,GATE,27.61,23.36
SRR5860660,Gedeo_Dmel,13.18,10.05
SRR5860660,gtwin,1.76,0.53
SRR5860660,gypsy,5.23,2.92
SRR5860660,gypsy10,0.45,0.07
SRR5860660,gypsy11,1.61,0.60
SRR5860660,gypsy12,9.68,4.72
SRR5860660,gypsy12A,3.78,1.41
SRR5860660,gypsy2,0.57,0.18
SRR5860660,gypsy2S,1.00,0.35
SRR5860660,gypsy3,2.36,1.08
SRR5860660,gypsy4,5.06,4.44
SRR5860660,gypsy5,0.72,0.09
SRR5860660,gypsy6,6.66,1.80
SRR5860660,gypsy7,1.30,0.95
SRR5860660,gypsy8,15.46,6.69
SRR5860660,gypsy9,1.54,0.89
SRR5860660,HB,15.02,7.93
SRR5860660,Helena,18.54,17.29
SRR5860660,HeT-A,2.02,0.04
SRR5860660,HMS-Beagle,10.89,8.11
SRR5860660,hobo,9.43,7.50
SRR5860660,hopper,3.51,0.02
SRR5860660,hopper2,0.71,0.19
SRR5860660,I-element,22.94,19.03
SRR5860660,Idefix,4.51,2.09
SRR5860660,invader1,7.67,5.51
SRR5860660,invader2,18.90,17.04
SRR5860660,invader3,19.54,17.58
SRR5860660,invader4,1.67,0.60
SRR5860660,invader5,0.77,0.27
SRR5860660,Ivk,7.70,6.45
SRR5860660,jockey,14.68,14.38
SRR5860660,jockey2,4.45,2.77
SRR5860660,Juan,13.43,13.33
SRR5860660,looper1,0.93,0.64
SRR5860660,M4DM,10.84,2.73
SRR5860660,mariner2,5.11,3.74
SRR5860660,Max-element,36.87,32.96
SRR5860660,McClintock,4.23,0.15
SRR5860660,mdg1,3.29,2.33
SRR5860660,mdg3,4.88,3.66
SRR5860660,micropia,19.66,16.47
SRR5860660,Minos_DM,0.08,0.00
SRR5860660,ninja-aurora,17.54,14.99
SRR5860660,NOF,1.72,1.29
SRR5860660,Nomad,10.84,8.65
SRR5860660,P-element,0.00,0.00
SRR5860660,Phanio_Dmel,8.11,5.50
SRR5860660,Phidippo_Dmel,5.13,3.90
SRR5860660,Pifo_A,0.06,0.04
SRR5860660,pogo,0.00,0.00
SRR5860660,Quasimodo,0.20,0.00
SRR5860660,Quasimodo2,3.44,0.01
SRR5860660,R1,90.45,13.77
SRR5860660,R1-2,2.45,1.43
SRR5860660,R1A1-element,38.22,3.13
SRR5860660,R2-element,24.85,23.10
SRR5860660,rnd-1_family-13_jockey,2.87,0.42
SRR5860660,rnd-1_family-1_copia,9.75,3.20
SRR5860660,rnd-1_family-85_gypsy,16.98,3.77
SRR5860660,rnd-5_family-560_Pao,16.29,7.71
SRR5860660,roo,18.12,14.58
SRR5860660,rooA,16.05,11.53
SRR5860660,rover,0.48,0.08
SRR5860660,Rt1a,2.23,1.10
SRR5860660,Rt1b,36.41,30.01
SRR5860660,S-element,0.65,0.14
SRR5860660,S2,0.45,0.22
SRR5860660,springer,1.06,0.26
SRR5860660,Stalker,2.64,0.12
SRR5860660,Stalker2,6.87,5.01
SRR5860660,Stalker4,3.50,0.07
SRR5860660,Tabor,9.05,7.57
SRR5860660,TAHRE,1.99,0.68
SRR5860660,TART-A,1.65,0.62
SRR5860660,TART-B,0.77,0.17
SRR5860660,TART-C,0.39,0.08
