Sample,TE,All_reads,HQ_reads
SRR1560097,BEL_2_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_2_DVir_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_2_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DBi_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DEl_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_Deu_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DFi_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DGri_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DMoj_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DPer_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DRh_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DVir_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_3_DYa_I_LTR_Pao,0.16,0.03
SRR1560097,BEL_4_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DBi_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DEl_I_LTR_Pao,0.01,0.00
SRR1560097,BEL_4_DEu_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DFi_I_LTR_Pao,0.04,0.00
SRR1560097,BEL_4_DMoj_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DPer_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DPse_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DRh_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DVir_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_4_DYa_I_LTR_Pao,0.05,0.01
SRR1560097,BEL_5_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DEl_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DEu_I_LTR_Pao,0.08,0.01
SRR1560097,BEL_5_DFi_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DMoj_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DPer_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DRh_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DVir_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_5_DYa_I_LTR_Pao,0.01,0.00
SRR1560097,BEL_6_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DEl_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DMoj_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DPe_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DPer_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DRh_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_6_DYa_I_LTR_Pao,18.44,9.28
SRR1560097,BEL_7_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DMoj_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DPe_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DPer_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DRh_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_7_DWil_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DAn_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DBp_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DEl_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DMo_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DPe_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DTa_I_LTR_Pao,0.00,0.00
SRR1560097,BEL_8_DWil_I_LTR_Pao,0.00,0.00
