Sample,TE,All_reads,HQ_reads
SRR1560268,ACCORD2_I_LTR_Gypsy,2.28,1.59
SRR1560268,ACCORD_I_LTR_Gypsy,2.40,2.27
SRR1560268,Baggins1_Non_LTR_retrotransposon_LOA,51.99,45.47
SRR1560268,BARI1_DNA_TcMar_Tc1,2.84,0.42
SRR1560268,BARI_DM_DNA_TcMar_Tc1,11.65,11.47
SRR1560268,BATUMI_I_LTR_Pao,19.43,16.58
SRR1560268,BEL1_I_Dmoj_LTR_Pao,0.00,0.00
SRR1560268,BEL1_I_Dpse_LTR_Pao,0.00,0.00
SRR1560268,BEL1_I_DV_LTR_Pao,0.00,0.00
SRR1560268,BEL1_I_Dya_LTR_Pao,0.00,0.00
SRR1560268,BEL2_I_Dmoj_LTR_Pao,0.00,0.00
SRR1560268,BEL2_I_Dpse_LTR_Pao,0.00,0.00
SRR1560268,BEL2_I_Dya_LTR_Pao,0.03,0.00
SRR1560268,BEL3_DM_I_LTR_Pao,0.00,0.00
SRR1560268,BEL3_I_Dpse_LTR_Pao,0.00,0.00
SRR1560268,BEL_10_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_10_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_10_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_10_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_10_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_11_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_11_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_11_DEl_I_LTR_Pao,0.10,0.01
SRR1560268,BEL_11_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_11_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_12_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_12_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_12_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_12_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_12_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_13_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_13_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_13_DP_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_13_DTa_I_LTR_Pao,0.01,0.00
SRR1560268,BEL_13_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_14_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_14_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_14_DP_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_14_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_14_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_15_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_15_DEl_I_LTR_Pao,0.04,0.01
SRR1560268,BEL_15_DP_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_15_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_15_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_16_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_16_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_16_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_16_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_17_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_17_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_17_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_18_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_18_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_18_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_18_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_19_DAn_I_LTR_Pao,0.02,0.00
SRR1560268,BEL_19_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_19_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DBi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DEre_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_Deu_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DFi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DGri_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DKi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DRh_I_LTR_Pao,0.04,0.01
SRR1560268,BEL_1_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DVir_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_1_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_20_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_20_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_20_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_21_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_21_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_21_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_22_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_22_DTa_I_LTR_Pao,0.01,0.00
SRR1560268,BEL_2_DAn_I_LTR_Pao,0.02,0.00
SRR1560268,BEL_2_DBi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_Deu_I_LTR_Pao,0.01,0.00
SRR1560268,BEL_2_DFi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DGri_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DRh_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DSe_I_LTR_Pao,8.94,8.20
SRR1560268,BEL_2_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DVir_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_2_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DBi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_Deu_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DFi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DGri_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DMoj_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DRh_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DVir_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_3_DYa_I_LTR_Pao,0.16,0.03
SRR1560268,BEL_4_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DBi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DEl_I_LTR_Pao,0.01,0.00
SRR1560268,BEL_4_DEu_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DFi_I_LTR_Pao,0.04,0.00
SRR1560268,BEL_4_DMoj_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DPse_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DRh_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DVir_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_4_DYa_I_LTR_Pao,0.07,0.01
SRR1560268,BEL_5_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DEu_I_LTR_Pao,0.07,0.01
SRR1560268,BEL_5_DFi_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DMoj_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DRh_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DVir_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_5_DYa_I_LTR_Pao,0.02,0.00
SRR1560268,BEL_6_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DMoj_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DPe_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DRh_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_6_DYa_I_LTR_Pao,20.14,10.65
SRR1560268,BEL_7_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DMoj_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DPe_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DPer_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DRh_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_7_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DMo_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DPe_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_8_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_9_DAn_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_9_DBp_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_9_DEl_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_9_DTa_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_9_DWil_I_LTR_Pao,0.00,0.00
SRR1560268,BEL_I_LTR_Pao,10.23,9.36
