Sample,TE,All_reads,HQ_reads
SRR5860661,rnd-1_family-1_copia,10.00,3.42
SRR5860661,rnd-1_family-85_gypsy,15.91,3.83
SRR5860661,rnd-5_family-560_Pao,16.43,7.97
SRR5860661,roo,17.17,13.88
SRR5860661,rooA,16.00,11.57
SRR5860661,rover,0.59,0.09
SRR5860661,Rt1a,1.98,1.02
SRR5860661,Rt1b,33.57,27.79
SRR5860661,S-element,0.66,0.10
SRR5860661,S2,0.35,0.19
SRR5860661,springer,0.97,0.26
SRR5860661,Stalker,2.84,0.11
SRR5860661,Stalker2,7.56,5.60
SRR5860661,Stalker4,3.69,0.06
SRR5860661,Tabor,9.38,7.95
SRR5860661,TAHRE,2.14,0.74
SRR5860661,TART-A,1.74,0.70
SRR5860661,TART-B,0.82,0.19
SRR5860661,TART-C,0.41,0.09
SRR5860661,Tc1-2,9.29,7.80
SRR5860661,Tc1_DM,16.76,11.81
SRR5860661,Tc3,0.00,0.00
SRR5860661,Tirant,7.41,6.05
SRR5860661,Tom,7.32,4.23
SRR5860661,transib1,11.66,9.92
SRR5860661,Transib2,25.35,21.38
SRR5860661,transib3,1.28,0.94
SRR5860661,transib4,1.63,1.04
SRR5860661,Transib5,2.45,1.81
SRR5860661,Transpac,10.94,9.63
SRR5860661,X-element,19.33,3.99
SRR5860661,ZAM,4.46,3.58
