Sample,TE,All_reads,HQ_reads
SRR5860574,rnd-1_family-1_copia,15.04,1.79
SRR5860574,rnd-1_family-85_gypsy,10.66,5.29
SRR5860574,rnd-5_family-560_Pao,27.28,16.47
SRR5860574,roo,22.17,16.05
SRR5860574,rooA,104.86,80.99
SRR5860574,rover,2.56,0.57
SRR5860574,Rt1a,0.39,0.00
SRR5860574,Rt1b,2.01,0.42
SRR5860574,S-element,0.00,0.00
SRR5860574,S2,0.00,0.00
SRR5860574,springer,8.19,5.50
SRR5860574,Stalker,28.10,0.93
SRR5860574,Stalker2,8.18,1.87
SRR5860574,Stalker4,30.01,0.23
SRR5860574,Tabor,24.37,18.91
SRR5860574,TAHRE,0.04,0.00
SRR5860574,TART-A,0.15,0.01
SRR5860574,TART-B,0.61,0.07
SRR5860574,TART-C,16.49,13.98
SRR5860574,Tc1-2,3.84,2.63
SRR5860574,Tc1_DM,1.54,1.08
SRR5860574,Tc3,0.00,0.00
SRR5860574,Tirant,0.61,0.17
SRR5860574,Tom,0.59,0.06
SRR5860574,transib1,1.82,1.31
SRR5860574,Transib2,3.27,2.07
SRR5860574,transib3,0.96,0.48
SRR5860574,transib4,0.78,0.43
SRR5860574,Transib5,1.00,0.19
SRR5860574,Transpac,2.25,1.33
SRR5860574,X-element,3.95,0.02
SRR5860574,ZAM,4.19,2.39
